"date","ts1","te1","ts2","te2","ts3","te3","ts4","te4","ts5","te5","total","avg"
22-02-2015,04:05 AM,01:20 PM,,,,,,,,,09:15,07:47:03
23-02-2015,06:10 AM,12:10 PM,,,,,,,,,06:00,07:45:31
24-02-2015,04:45 AM,08:10 AM,08:15 PM,11:05 PM,,,,,,,06:15,07:44:14
25-02-2015,05:30 AM,08:45 AM,06:00 PM,08:05 PM,,,,,,,05:20,07:42:14
26-02-2015,06:30 AM,08:45 AM,07:40 PM,10:02 PM,,,,,,,04:37,07:39:42
27-02-2015,04:20 AM,08:45 AM,,,,,,,,,04:25,07:37:04
28-02-2015,05:30 AM,09:25 AM,03:20 PM,04:05 PM,,,,,,,04:40,07:34:42
01-03-2015,02:05 AM,07:25 AM,08:00 PM,11:59 PM,,,,,,,09:19,07:36:05
02-03-2015,12:01 AM,01:30 AM,03:00 AM,09:35 AM,06:00 PM,10:00 PM,,,,,12:04,07:39:34
03-03-2015,02:00 AM,09:35 AM,,,,,,,,,07:35,07:39:30
04-03-2015,02:45 AM,08:40 AM,12:05 PM,01:20 PM,10:00 PM,11:59 PM,,,,,09:09,07:40:38
05-03-2015,12:01 AM,09:10 AM,03:05 PM,05:15 PM,,,,,,,11:19,07:43:22
06-03-2015,09:00 AM,02:00 PM,,,,,,,,,05:00,07:41:21
07-03-2015,03:35 AM,02:25 PM,11:05 PM,11:59 PM,,,,,,,11:44,07:44:18
08-03-2015,12:01 AM,10:45 AM,04:00 PM,07:40 PM,,,,,,,14:24,07:49:07
09-03-2015,12:10 AM,07:45 AM,06:45 PM,11:00 PM,,,,,,,11:50,07:51:59
10-03-2015,12:01 AM,11:30 AM,04:00 PM,07:30 PM,,,,,,,14:59,07:57:01
11-03-2015,02:00 AM,07:15 AM,05:15 PM,09:00 PM,09:40 PM,11:59 PM,,,,,11:19,07:59:22
12-03-2015,12:01 AM,06:45 AM,,,,,,,,,06:44,07:58:30
13-03-2015,01:15 AM,12:30 PM,,,,,,,,,11:15,08:00:44
14-03-2015,01:50 AM,10:00 AM,,,,,,,,,08:10,08:00:50
15-03-2015,01:05 AM,07:10 AM,,,,,,,,,06:05,07:59:33
16-03-2015,02:25 AM,07:25 AM,11:45 PM,11:59 PM,,,,,,,05:14,07:57:44
17-03-2015,12:01 AM,07:35 AM,05:26 PM,08:30 PM,,,,,,,10:38,07:59:28
18-03-2015,05:05 AM,07:40 AM,03:40 PM,04:20 PM,06:20 PM,09:50 PM,,,,,06:45,07:58:40
19-03-2015,04:50 AM,08:45 AM,09:00 PM,11:59 PM,,,,,,,06:54,07:57:59
20-03-2015,12:01 AM,05:10 AM,,,,,,,,,05:09,07:56:12
21-03-2015,03:40 AM,09:25 AM,,,,,,,,,05:45,07:54:50
22-03-2015,04:18 AM,10:05 AM,,,,,,,,,05:47,07:53:31
23-03-2015,04:20 AM,10:05 AM,,,,,,,,,05:45,07:52:12
24-03-2015,04:05 AM,07:45 AM,,,,,,,,,03:40,07:49:39
25-03-2015,01:05 AM,07:25 AM,09:15 PM,11:59 PM,,,,,,,09:04,07:50:24
26-03-2015,12:01 AM,07:50 AM,,,,,,,,,07:49,07:50:23
27-03-2015,03:41 AM,07:45 AM,,,,,,,,,04:04,07:48:10
28-03-2015,01:15 AM,04:13 AM,05:00 AM,09:00 AM,,,,,,,06:58,07:47:41
29-03-2015,04:10 AM,10:10 AM,03:50 PM,05:30 PM,,,,,,,07:40,07:47:36
30-03-2015,07:05 AM,08:27 AM,07:35 PM,08:25 PM,,,,,,,02:12,07:44:25
31-03-2015,04:15 AM,08:00 AM,,,,,,,,,03:45,07:42:09
01-04-2015,12:55 AM,02:30 AM,03:55 AM,09:25 AM,,,,,,,07:05,07:41:48
02-04-2015,02:50 AM,10:00 AM,,,,,,,,,07:10,07:41:31
03-04-2015,02:00 AM,09:00 AM,,,,,,,,,07:00,07:41:08
04-04-2015,03:30 AM,08:40 AM,09:00 AM,11:59 AM,,,,,,,08:09,07:41:23
05-04-2015,02:15 AM,09:25 AM,,,,,,,,,07:10,07:41:06
06-04-2015,04:00 AM,10:00 AM,,,,,,,,,06:00,07:40:12
07-04-2015,02:35 AM,08:07 AM,,,,,,,,,05:32,07:39:04
08-04-2015,04:32 AM,08:30 AM,06:30 PM,08:00 PM,,,,,,,05:28,07:37:55
09-04-2015,02:45 AM,09:00 AM,,,,,,,,,06:15,07:37:11
10-04-2015,12:30 AM,08:08 AM,04:15 PM,06:25 PM,,,,,,,09:48,07:38:19
11-04-2015,02:00 AM,05:10 AM,05:22 AM,11:45 AM,,,,,,,09:33,07:39:18
12-04-2015,05:45 AM,09:50 AM,03:00 PM,07:05 PM,,,,,,,08:10,07:39:34
13-04-2015,04:00 AM,08:20 AM,03:50 PM,07:45 PM,,,,,,,08:15,07:39:51
14-04-2015,03:25 AM,09:30 AM,,,,,,,,,06:05,07:39:04
15-04-2015,03:50 AM,08:20 AM,,,,,,,,,04:30,07:37:30
16-04-2015,04:20 AM,07:02 AM,04:25 PM,06:20 PM,,,,,,,04:37,07:36:01
